Query_Id,Query,Query_Category,System_Output,Remarks
Q1,package marked delivered but customer did not receive it,Delivery Issue,,
Q2,customer says shipment was delivered to wrong address,Delivery Issue,,
Q3,customer cannot find package left at garage,Delivery Investigation,,
Q4,delivery shows completed but nothing arrived,Delivery Issue,,
Q5,customer checked neighbors but parcel still missing,Delivery Investigation,,
Q6,tracking says delivered but camera shows no delivery,Delivery Investigation,,
Q7,customer wants investigation for missing shipment,Delivery Investigation,,
Q8,item marked delivered early but customer was home all day,Delivery Issue,,
Q9,customer wants refund for wrong product received,Refund,,
Q10,customer requesting money back for late delivery,Refund,,
Q11,customer returned item but refund not processed,Refund,,
Q12,customer charged twice for same order,Refund,,
Q13,customer wants refund after cancellation,Refund,,
Q14,customer unhappy with product and wants full refund,Refund,,
Q15,customer reported suspicious transaction on account,Fraud,,
Q16,unauthorized purchase detected in another city,Fraud,,
Q17,customer did not make recent card payment,Fraud,,
Q18,customer sees unknown charge on credit card,Fraud,,
Q19,account used for purchase without customer permission,Fraud,,
Q20,customer wants to block card after fraud alert,Fraud,,
Q21,customer wants to enable two factor authentication,Security,,
Q22,customer wants to secure account after suspicious login,Security,,
Q23,customer wants OTP protection activated,Security,,
Q24,customer requests password reset after security breach,Security,,
Q25,customer updating security settings after fraud report,Security,,
Q26,customer wants to change phone number in account,Account Update,,
Q27,customer updating contact details after moving house,Account Update,,
Q28,customer wants to update email address,Account Update,,
Q29,customer requests profile information correction,Account Update,,
Q30,customer wants to update billing information,Account Update,,
Q31,customer received damaged item and wants replacement,Product Issue,,
Q32,wrong size product delivered to customer,Product Issue,,
Q33,customer says item stopped working after one day,Product Issue,,
Q34,defective product reported immediately after delivery,Product Issue,,
Q35,customer complaining about poor quality product,Product Issue,,
Q36,payment deducted but order not confirmed,Payment Problem,,
Q37,transaction failed but money was debited,Payment Problem,,
Q38,customer wants refund for duplicate payment,Payment Problem,,
Q39,billing amount incorrect on invoice,Payment Problem,,
Q40,customer charged for subscription they did not authorize,Payment Problem,,
Q41,customer reported fraud and wants card replaced and security setup,Multi Issue,,
Q42,customer missing delivery and also wants refund processed,Multi Issue,,
Q43,customer updating phone number and reporting suspicious login,Multi Issue,,
Q44,customer received wrong item and was charged extra,Multi Issue,,
Q45,customer wants replacement and compensation for delay,Multi Issue,,
Q46,why was replacement issued when delivery was marked complete,Causal Analysis,,
Q47,why did agent block the card after fraud report,Causal Analysis,,
Q48,what causes refund decisions in customer complaints,Causal Analysis,,
Q49,why security features were enabled after suspicious activity,Causal Analysis,,
Q50,what triggers investigation when package is missing,Causal Analysis,,
